Exercise_Id,Channel_Id
E1,CH1
E1,CH2
E1,CH3
E1,CH4
E1,CH5
E1,CH6
E1,CH7
E1,CH8
E1,CH9
E1,CH10
E1,CH11
E1,CH12
E1,CH13
E1,CH14
E1,CH15
E1,CH16
E1,CH17
E1,CH18
E1,CH19
E1,CH20
E1,CH21
E1,CH22
E1,CH23
E1,CH24
E2,CH1
E2,CH2
E2,CH3
E2,CH4
E2,CH5
E2,CH6
E2,CH7
E2,CH8
E2,CH9
E2,CH10
E2,CH11
E2,CH12
E2,CH13
E2,CH14
E2,CH15
E2,CH16
E2,CH17
E2,CH18
E2,CH19
E2,CH20
E2,CH21
E2,CH22
E2,CH23
E2,CH24
E3,CH1
E3,CH2
E3,CH3
E3,CH4
E3,CH5
E3,CH6
E3,CH7
E3,CH8
E3,CH9
E3,CH10
E3,CH11
E3,CH12
E3,CH13
E3,CH14
E3,CH15
E3,CH16
E3,CH17
E3,CH18
E3,CH19
E3,CH20
E3,CH21
E3,CH22
E3,CH23
E3,CH24
E4,CH1
E4,CH2
E4,CH3
E4,CH4
E4,CH5
E4,CH6
E4,CH7
E4,CH8
E4,CH9
E4,CH10
E4,CH11
E4,CH12
E4,CH13
E4,CH14
E4,CH15
E4,CH16
E4,CH17
E4,CH18
E4,CH19
E4,CH20
E4,CH21
E4,CH22
E4,CH23
E4,CH24
